562, 3932, 8166, 1742, 3282, 5202, 5834, 104, 3332, 326, 230, 428, 88, 84, 74, 72, 44, 36, 30, 26, 28, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22
3090, 3388, 996, 2824, 12008, 468, 6794, 6990, 2190, 474, 2228, 3282, 2040, 648, 1782, 1930, 342, 2044, 264, 588, 10776, 294, 262, 12848, 5040, 2240, 1864, 10452, 5012, 474, 3310, 944, 928, 21888, 5654, 1828, 840, 190, 216, 678, 248, 188, 106, 146, 34, 58, 34, 32, 26, 22
5832, 3734, 4250, 11994, 1224, 674, 678, 5546, 9450, 686, 1372, 680, 446, 3196, 522, 5276, 222, 18614, 312, 13794, 992, 1232, 5240, 9982, 5444, 838, 142, 76, 136, 44, 84, 46, 24, 24, 26, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22
1694, 2618, 740, 1004, 2346, 9208, 310, 3226, 1306, 10590, 128, 424, 184, 90, 120, 36, 36, 34, 28, 26, 24, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22
11198, 180, 5226, 5914, 4066, 332, 536, 3434, 1174, 286, 328, 2342, 184, 246, 224, 46, 60, 60, 34, 50, 36, 28, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22
2270, 4846, 1758, 1190, 4390, 912, 182, 526, 738, 322, 1864, 86, 94, 66, 110, 42, 66, 34, 28, 26, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22
8094, 2230, 6920, 64, 18546, 2714, 174, 1416, 738, 190, 64, 284, 810, 270, 186, 156, 34, 28, 24, 26, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22
280, 3348, 5180, 104, 7292, 21866, 1756, 3602, 2658, 962, 798, 660, 106, 210, 114, 40, 78, 42, 32, 24, 24, 26, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22
9110, 4576, 2386, 1182, 304, 3252, 5624, 3522, 3592, 336, 344, 5766, 2072, 1650, 6082, 7310, 3456, 1578, 6942, 2964, 6708, 4254, 68, 166, 70, 52, 38, 46, 34, 36, 24, 24, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22
5532, 1282, 1688, 926, 3970, 928, 2594, 4734, 2002, 596, 6400, 6112, 3200, 2348, 82, 250, 122, 134, 68, 62, 40, 34, 28, 24, 26, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22
