1038, 220, 762, 192, 584, 814, 320, 344, 1214, 210, 376, 188, 90, 78, 62, 66, 28, 32, 34, 30, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24
744, 460, 138, 1604, 254, 310, 256, 188, 152, 96, 40, 52, 70, 28, 30, 30, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24
268, 1394, 2430, 5640, 1248, 1742, 996, 542, 520, 676, 958, 812, 550, 726, 1168, 1916, 732, 992, 1388, 226, 256, 1038, 304, 1608, 1216, 2916, 6626, 734, 562, 3164, 484, 150, 100, 186, 214, 60, 56, 58, 32, 28, 26, 28, 24, 24, 24, 24, 24, 24, 24, 24
1674, 260, 1638, 782, 2602, 4318, 182, 416, 902, 166, 148, 60, 44, 42, 26, 40, 32, 28, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24
232, 1352, 430, 3586, 1480, 2210, 178, 192, 138, 76, 58, 40, 38, 40, 30, 26, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24
1254, 1794, 560, 658, 234, 1024, 1672, 184, 212, 282, 684, 102, 82, 84, 50, 58, 40, 28, 42, 30, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24
304, 394, 246, 286, 374, 606, 2000, 1192, 1588, 242, 2464, 770, 3896, 744, 2184, 676, 294, 754, 1386, 960, 224, 440, 360, 882, 1924, 708, 2614, 432, 1088, 1712, 1990, 86, 156, 134, 86, 112, 38, 44, 30, 30, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24
462, 3542, 346, 1184, 188, 222, 496, 238, 326, 206, 406, 216, 450, 262, 110, 134, 86, 76, 44, 42, 32, 26, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24
1812, 318, 1848, 2294, 2200, 606, 712, 1628, 2698, 668, 716, 592, 768, 884, 2102, 3096, 2008, 174, 364, 180, 248, 80, 48, 84, 52, 38, 34, 30, 30, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24
1314, 918, 2688, 2160, 2170, 704, 1254, 546, 1374, 750, 1884, 648, 1400, 574, 344, 2560, 1786, 454, 546, 326, 1364, 1014, 836, 510, 2600, 884, 824, 670, 870, 1224, 428, 524, 2172, 4884, 1444, 352, 1428, 2230, 664, 820, 382, 1906, 318, 1436, 282, 2012, 1406, 648, 526, 246
